uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,16,268,0.776,0.78,A#,-4.374,Minor,0.128,0.0622,124.949
spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer Smith,17,11,0.56,0.473,F,-7.23,Major,0.0533,0.618,109.414
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1,179,0.755,0.522,D,-4.368,Major,0.0575,0.533,89.96
spotify:track:0sTlGEld0h8kIPZaKDYUf4,Notion,The Rare Occasions,67,11,0.309,0.883,A,-3.825,Major,0.0808,0.0673,159.488
spotify:track:37y7iDayfwm3WXn5BiAoRk,Dark Red,Steve Lacy,66,33,0.603,0.783,F#,-4.023,Major,0.062,0.449,172.041
spotify:track:2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",7,22,0.542,0.659,G#,-7.289,Major,0.0389,0.00279,120.122
spotify:track:5vUnjhBzRJJIAOJPde6zDx,TO THE MOON,"Jnr Choi, Sam Tompkins",55,11,0.745,0.65,D,-11.814,Major,0.346,0.0451,144.047
spotify:track:4srcMdbm2qzVG98tJajHxp,Pantysito,"Alejo, Feid, ROBI",99,1,0.83,0.739,G,-5.395,Minor,0.0627,0.136,97.993
spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,2,83,0.746,0.765,F#,-4.41,Minor,0.0993,0.0112,114.044
spotify:track:503OTo2dSqe7qk76rgsbep,Still D.R.E.,"Dr. Dre, Snoop Dogg",29,6,0.816,0.775,B,-3.323,Major,0.234,0.16,93.431
spotify:track:1v7L65Lzy0j0vdpRjJewt1,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,44,66,0.686,0.735,D,-4.616,Major,0.264,0.00921,171.355
spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",24,205,0.351,0.296,E,-10.109,Minor,0.0333,0.934,115.284
spotify:track:76YSWx6L6FNsuaP6GWBb8P,All For Us,"Labrinth, Zendaya",43,11,0.46,0.66,D#,-6.642,Major,0.0652,0.0108,141.722
spotify:track:6LtHYDgYHRCHoKK3snfr2w,I’m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",29,4,0.375,0.133,C,-10.624,Minor,0.0352,0.651,131.721
spotify:track:2gpQi3hbcUAcEG8m2dlgfB,Plan A,Paulo Londra,106,1,0.583,0.834,C,-4.875,Major,0.0444,0.0495,173.935
spotify:track:7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,4,168,0.501,0.405,C#,-5.679,Major,0.0319,0.751,109.891
spotify:track:7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,5,28,0.831,0.554,C#,-9.998,Minor,0.218,0.161,140.026
spotify:track:0k4d5YPDr1r7FX77VdqWez,You Right,"Doja Cat, The Weeknd",15,39,0.828,0.621,G#,-6.414,Major,0.0565,0.0164,128.986
spotify:track:2Gq636OOGgxCTqEuzCZhsa,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",37,12,0.656,0.823,C#,-3.059,Minor,0.315,0.47,96.474
spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,101,66,0.429,0.661,B,-7.227,Major,0.0281,0.00239,173.372
spotify:track:69vlMrzHwATKzupwNcUPyK,La Santa,"Bad Bunny, Daddy Yankee",14,23,0.744,0.868,C#,-4.524,Major,0.047,0.0326,93.037
spotify:track:62Yo3FDddWY8ydu6PW2wyz,Nail Tech,Jack Harlow,36,5,0.677,0.557,C#,-8.409,Major,0.0694,0.00508,150.127
spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,"Xamã, Gustah, Neo Beats",33,13,0.821,0.609,F#,-6.541,Minor,0.268,0.378,133.133
spotify:track:68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,113,35,0.69,0.521,A#,-8.492,Minor,0.339,0.324,100.028
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,63,12,0.746,0.251,B,-16.169,Minor,0.259,0.782,139.999
spotify:track:6EtKlIQmGPB9SX8UjDJG5s,Formula,Labrinth,68,10,0.574,0.664,B,-6.068,Major,0.0409,0.0448,144.654
spotify:track:0dcnrLo8s1rhjm8euGjI4n,DARARI,TREASURE,102,4,0.716,0.638,C,-6.87,Major,0.0392,0.486,84.955
spotify:track:7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,55,47,0.345,0.941,A,-9.918,Major,0.0466,3.84e-05,179.626
spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",10,29,0.849,0.424,F,-9.579,Minor,0.324,0.0635,145.887
spotify:track:78kygHp1dvW1kncYjBgbe1,Mujeriego,Ryan Castro,92,8,0.758,0.621,A,-8.033,Major,0.125,0.0628,79.949
spotify:track:1UdzJEpgJxtuXAlCOvD4S0,Fuera del mercado,Danny Ocean,122,1,0.453,0.673,G#,-5.649,Major,0.144,0.32,92.06
spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,"Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",123,1,0.925,0.454,D#,-3.533,Minor,0.273,0.252,135.02
